series_id,account_id,result
653079,91741256,2
653079,117311875,2
653079,151643048,0
653079,219225327,0
653079,230580807,0
653079,397240228,2
653079,412413765,2
653079,1071332616,0
653235,54580962,2
653235,72312627,2
653235,73562326,2
653235,77490514,2
653235,90125566,0
653235,93618577,0
653235,152962063,2
653235,167976729,0
653235,183719386,0
653235,401792574,0
653430,88470,2
653430,103296177,2
653430,134276083,0
653430,137193239,0
653430,138543123,0
653430,143693439,0
653430,185908355,0
653430,197849259,2
653430,199222238,2
653430,224302441,2
653569,92253768,0
653569,93159453,0
653569,112669497,2
653569,124127745,2
653569,137676707,2
653569,166178728,2
653569,172739956,0
653569,277196834,0
653569,306013204,2
653569,874542740,0
653817,84772440,0
653817,87278757,0
653817,89117038,0
653817,90125566,2
653817,93618577,2
653817,111620041,0
653817,121769650,0
653817,167976729,2
653817,183719386,2
653817,401792574,2
653904,16497807,0
653904,91730177,0
653904,96803083,2
653904,97590558,0
653904,116934015,0
653904,127565532,2
653904,127617979,2
653904,140288368,2
653904,190826739,0
653904,196878136,2
653949,14067214,2
653949,25907144,0
653949,26771994,0
653949,86745912,0
653949,94364925,2
653949,115141430,2
653949,124801257,0
653949,154715080,0
653949,192120253,2
653949,236858633,2
653974,59752811,2
653974,91741256,2
653974,98172857,0
653974,108452107,0
653974,117311875,2
653974,169025618,0
653974,193884241,0
653974,221666230,0
653974,397240228,2
653974,412413765,2
654017,101259972,2
654017,138857296,2
654017,139031324,0
654017,158847773,0
654017,168028715,2
654017,182331313,2
654017,192819341,0
654017,202217968,2
654017,227657377,0
654017,293950128,0
654046,88470,2
654046,103296177,2
654046,111114687,0
654046,118134220,0
654046,157475523,0
654046,173978074,0
654046,197849259,2
654046,199222238,2
654046,224302441,2
654046,898754153,0
654090,94296097,0
654090,94738847,0
654090,106863163,0
654090,119535307,0
654090,136177710,0
654090,147767183,2
654090,150961567,2
654090,249835593,2
654090,315272623,2
654090,320252024,2
654241,96803083,0
654241,111030315,2
654241,127565532,0
654241,127617979,0
654241,140288368,0
654241,196878136,0
654241,217599053,2
654241,234699894,2
654241,241519559,2
654241,386370442,2
654267,98961223,0
654267,99540890,2
654267,100246000,2
654267,100708765,2
654267,114585639,0
654267,161072811,2
654267,169405715,0
654267,188423794,2
654267,361688848,0
654267,1035128290,0
654410,108221389,0
654410,147488585,2
654410,150970092,2
654410,162926943,0
654410,165178538,0
654410,189666416,2
654410,250547284,0
654410,254710104,2
654410,255219872,0
654410,381714118,2
654506,41637292,2
654506,92253768,0
654506,92706637,2
654506,93159453,0
654506,96189126,2
654506,115750060,2
654506,172739956,0
654506,185512564,2
654506,277196834,0
654506,874542740,0
654629,94296097,0
654629,94738847,0
654629,106863163,0
654629,119535307,0
654629,136177710,0
654629,164530809,2
654629,189398048,2
654629,191458152,2
654629,198161112,2
654629,208796906,2
654636,32128719,2
654636,86700461,0
654636,92601861,0
654636,98885811,2
654636,100483784,2
654636,106755427,2
654636,118078153,2
654636,257698084,0
654636,314584168,0
654636,412753955,0
654643,9403474,0
654643,56351509,0
654643,96803083,2
654643,127565532,2
654643,127617979,2
654643,140288368,2
654643,196878136,2
654643,217472313,0
654643,331855530,0
654643,480412663,0
654655,107081378,2
654655,114645455,2
654655,134276083,0
654655,137129583,2
654655,137193239,0
654655,138543123,0
654655,143693439,0
654655,185908355,0
654655,223344914,2
654655,277141004,2
654658,10366616,0
654658,34505203,2
654658,82262664,2
654658,86698277,0
654658,94786276,0
654658,100058342,0
654658,101356886,2
654658,103735745,0
654658,105248644,2
654658,113995822,2
654685,27178898,2
654685,54580962,0
654685,72312627,0
654685,73562326,0
654685,77490514,0
654685,92949094,2
654685,107855479,2
654685,115464954,2
654685,152962063,0
654685,196490133,2
654738,38628747,0
654738,85367644,2
654738,97658618,0
654738,126212866,0
654738,145550466,0
654738,151643048,2
654738,219225327,2
654738,230580807,2
654738,238239590,0
654738,1071332616,2
654866,96803083,0
654866,99155835,2
654866,127565532,0
654866,127617979,0
654866,140288368,0
654866,165564598,2
654866,185996267,2
654866,196878136,0
654866,346392468,2
654866,1110152099,2
654887,16497807,0
654887,84772440,2
654887,87278757,2
654887,89117038,2
654887,91730177,0
654887,97590558,0
654887,111620041,2
654887,116934015,0
654887,121769650,2
654887,190826739,0
654895,40805086,2
654895,86785083,2
654895,96803083,0
654895,108958769,2
654895,127565532,0
654895,127617979,0
654895,140288368,0
654895,145065875,2
654895,155162307,2
654895,196878136,0
654960,50828662,2
654960,81475303,0
654960,84429681,2
654960,86822085,2
654960,110448679,2
654960,110583422,0
654960,126238768,2
654960,138880576,0
654960,153125655,0
654960,412758827,0
655127,9403474,2
655127,56351509,2
655127,96803083,0
655127,127565532,0
655127,127617979,0
655127,140288368,0
655127,196878136,0
655127,217472313,2
655127,331855530,2
655127,480412663,2
655167,96803083,0
655167,106305042,2
655167,117421467,2
655167,127565532,0
655167,127617979,0
655167,140288368,0
655167,177411785,2
655167,195108598,2
655167,196878136,0
655167,235505993,2
655653,12231202,0
655653,18180970,0
655653,41231571,0
655653,86700461,2
655653,92601861,2
655653,122049498,0
655653,151069590,0
655653,257698084,2
655653,314584168,2
655653,412753955,2
655768,10366616,2
655768,86698277,2
655768,90125566,0
655768,93618577,0
655768,94786276,2
655768,100058342,2
655768,103735745,2
655768,167976729,0
655768,183719386,0
655768,401792574,0
655808,25907144,0
655808,26771994,0
655808,50828662,2
655808,84429681,2
655808,86745912,0
655808,86822085,2
655808,110448679,2
655808,124801257,0
655808,126238768,2
655808,154715080,0
655867,38628747,0
655867,81475303,2
655867,97658618,0
655867,110583422,2
655867,126212866,0
655867,138880576,2
655867,145550466,0
655867,153125655,2
655867,238239590,0
655867,412758827,2
656049,16497807,0
656049,34505203,2
