match_id,cluster,dire_team_id,duration,engine,game_mode,leagueid,lobby_type,radiant_team_id,radiant_win,series_id,series_type,radiant_team,dire_team,patch,region
6364034063,274,1883502.0,1569,1,2,13709,1,46.0,False,630796.0,1.0,"{'team_id': 46, 'name': 'Team Empire', 'tag': 'Empire', 'logo_url': 'https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/46.png'}","{'team_id': 1883502, 'name': 'Virtus.pro', 'tag': 'VP', 'logo_url': 'https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/1883502.png'}",49,3.0
6363898944,225,6209166.0,2131,1,2,13716,1,726228.0,False,630778.0,1.0,"{'team_id': 726228, 'name': 'Vici Gaming', 'tag': 'VG', 'logo_url': 'https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/726228.png'}","{'team_id': 6209166, 'name': 'Team Aster', 'tag': 'Aster', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1629730253163462144/FEF15B2B4528E81103DD693E37FD7B6C9BE6B471/'}",49,17.0
6363849521,225,6209166.0,1590,1,2,13716,1,726228.0,False,630778.0,1.0,"{'team_id': 726228, 'name': 'Vici Gaming', 'tag': 'VG', 'logo_url': 'https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/726228.png'}","{'team_id': 6209166, 'name': 'Team Aster', 'tag': 'Aster', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1629730253163462144/FEF15B2B4528E81103DD693E37FD7B6C9BE6B471/'}",49,17.0
6363782701,225,5.0,2015,1,2,13716,1,4.0,True,630765.0,1.0,"{'team_id': 4, 'name': 'EHOME', 'tag': 'EHOME', 'logo_url': 'https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/4.png'}","{'team_id': 5, 'name': 'INVICTUS GAMING', 'tag': 'IG', 'logo_url': 'https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/5.png'}",49,17.0
6363722668,225,5.0,2915,1,2,13716,1,4.0,False,630765.0,1.0,"{'team_id': 4, 'name': 'EHOME', 'tag': 'EHOME', 'logo_url': 'https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/4.png'}","{'team_id': 5, 'name': 'INVICTUS GAMING', 'tag': 'IG', 'logo_url': 'https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/5.png'}",49,17.0
6363681975,225,4.0,1662,1,2,13716,1,5.0,False,630765.0,1.0,"{'team_id': 5, 'name': 'INVICTUS GAMING', 'tag': 'IG', 'logo_url': 'https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/5.png'}","{'team_id': 4, 'name': 'EHOME', 'tag': 'EHOME', 'logo_url': 'https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/4.png'}",49,17.0
6363467116,202,8254400.0,2146,1,2,13712,1,7298091.0,False,630680.0,1.0,"{'team_id': 7298091, 'name': 'Noping VPN', 'tag': 'NP', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1832397555270794379/74495E56884CBA2CD0791A072503DA6CC86A6F7A/'}","{'team_id': 8254400, 'name': 'beastcoast', 'tag': 'bc', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1664609440937553639/85EA3FC27708076F8ACC2E5B70E25EEC72B09CC6/'}",49,10.0
6363385036,251,7298091.0,2988,1,2,13712,1,8254400.0,True,630680.0,1.0,"{'team_id': 8254400, 'name': 'beastcoast', 'tag': 'bc', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1664609440937553639/85EA3FC27708076F8ACC2E5B70E25EEC72B09CC6/'}","{'team_id': 7298091, 'name': 'Noping VPN', 'tag': 'NP', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1832397555270794379/74495E56884CBA2CD0791A072503DA6CC86A6F7A/'}",49,15.0
6363256158,251,8118197.0,2386,1,2,13713,1,8254112.0,False,630651.0,1.0,"{'team_id': 8254112, 'name': 'Omega Gaming', 'tag': 'Ωmega', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1669113053190369840/AB542C336682A319783E2EF6AB24F9ACE0779F0D/'}","{'team_id': 8118197, 'name': 'Infinity', 'tag': 'Infinity', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1744562778564148826/B2509E79A92E7D4A062B2A6FCA330667A1882762/'}",49,15.0
6363135269,274,36.0,1841,1,2,13709,1,7422789.0,True,630590.0,1.0,"{'team_id': 7422789, 'name': 'HellRaisers', 'tag': 'HR', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1831286133097023803/90F55813EB2ACD140D381894135B7872E2B9E3F7/'}","{'team_id': 36, 'name': 'Natus Vincere', 'tag': 'NAVI', 'logo_url': 'https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/36.png'}",49,3.0
