team_id,name,tag
8716653,insinia,insinia
8350517,TEAM M11,M11
8726139,Deviant Knigts,DK
8656713,Trash talk Enjoyers,TTE
8721838,Cigarette,nagryaznom
8556552,01 Esports,01
8549812,GAGAK,Gagak
8714167,C-G,C-Gen
8692537,LastAtome,LA
8590717,Storm Maker,STM
8254148,Alpha Esports,AE Pro
8574177,Elephant,
8718717,4,
8726522,GigaChads,Chad
8726547,Deboosters,
8261642,RoflanPominki,RnP
8705874,SELFMADE,SM
8726410,Jesteam,
8691094,Gains' Goons,GGs
8644812,Hot Headed Gaming,Hot
3513702,Rune Eaters Esports,RE
8575271,those_gaming_kids,tgk
8597594,GrindSky Esports,GS
8685651,HF,HF
8172071,D-Roar,DRoar
8726140,Pride Warriors,PRIDE
8254400,beastcoast,bc
